city_id,Cloudiness,Country,Humidity,Latitude,Longitude,Temperature (F),Wind Speed,Date,City
0,1,US,35,40.8584,-74.1638,60.8,6.91,1620353610,clifton
1,75,CL,88,-30.0319,-70.7081,59.0,5.75,1620353611,vicuna
2,9,RU,80,69.7008,170.3133,29.7,2.59,1620353611,pevek
3,75,ZA,94,-33.9258,18.4232,61.0,13.8,1620353341,cape town
4,4,EC,89,-0.7393,-90.3518,73.99,5.7,1620353612,puerto ayora
5,75,CN,63,18.8003,110.3967,85.08,5.1,1620353612,wanning
6,8,NA,96,-28.55,16.4333,54.25,2.3,1620353612,oranjemund
7,100,SD,63,11.0167,29.7167,79.68,9.37,1620353613,kaduqli
8,39,IN,67,9.7333,79.0167,86.63,8.81,1620353587,tondi
9,40,UY,55,-34.8603,-56.0522,60.8,6.91,1620353546,paso de carrasco
10,1,US,49,64.5011,-165.4064,48.2,11.5,1620353614,nome
11,66,NZ,76,-46.1927,168.8643,57.99,1.99,1620353614,mataura
12,15,MV,72,-0.6,73.0833,83.89,4.52,1620353614,hithadhoo
13,78,RU,81,63.05,179.3167,29.57,7.34,1620353536,beringovskiy
14,0,ZA,88,-33.918,25.5701,59.0,12.66,1620353615,port elizabeth
15,1,US,83,30.153,-85.5699,73.0,6.91,1620353615,callaway
16,75,VU,70,-19.55,169.2667,86.0,4.61,1620353616,isangel
17,40,GB,93,58.2093,-6.3865,36.0,2.3,1620353616,stornoway
18,40,AR,76,-38.0023,-57.5575,55.0,3.44,1620353575,mar del plata
19,20,US,46,42.6001,-73.9662,48.2,10.36,1620353617,albany
20,72,AU,100,-33.65,115.3333,57.99,4.0,1620353617,busselton
21,75,US,65,19.7297,-155.09,80.6,9.22,1620353617,hilo
22,100,ID,76,-3.8004,102.2655,79.75,1.5,1620353618,bengkulu
23,100,ID,89,0.1333,117.5,76.01,4.23,1620353618,bontang
24,10,RU,58,60.34,102.2797,42.85,8.12,1620353618,vanavara
25,100,RU,64,42.4308,130.6434,54.64,11.7,1620353619,khasan
26,90,RU,93,59.7035,30.7861,41.0,4.47,1620353619,nikolskoye
27,0,RO,93,45.7583,21.1122,51.01,9.22,1620353335,sacalaz
28,3,CA,31,55.1001,-105.2842,46.4,3.44,1620353620,la ronge
29,100,HK,69,22.2855,114.1577,82.0,5.99,1620353608,victoria
30,35,CL,85,-37.6167,-73.65,52.39,6.98,1620353426,lebu
31,40,MU,94,-20.3428,57.7575,73.4,14.97,1620353620,bambous virieux
32,22,PF,66,-9.8,-139.0333,80.69,20.29,1620353621,atuona
33,100,ZA,96,-34.4187,19.2345,59.0,1.01,1620353621,hermanus
34,100,TH,72,14.708,101.4161,88.0,0.76,1620353622,pak chong
35,75,BD,74,23.6,89.8333,80.6,3.44,1620353424,faridpur
36,100,RU,90,68.75,161.3,30.7,3.13,1620353622,cherskiy
37,48,NG,48,12.1628,6.6614,83.1,14.56,1620353623,gusau
38,90,IS,80,66.0449,-17.3389,32.0,3.44,1620353623,husavik
39,75,CA,87,50.6996,-127.4199,46.4,9.22,1620353623,port hardy
40,75,AU,56,-42.8794,147.3294,68.0,13.8,1620353624,hobart
41,100,KI,75,3.0707,172.7902,84.09,14.99,1620353624,butaritari
42,20,PG,73,-2.5744,150.7967,84.06,5.64,1620353625,kavieng
43,100,RU,89,71.6872,128.8694,29.57,14.76,1620353625,tiksi
44,100,IN,69,10.5669,72.642,85.46,4.47,1620353625,kavaratti
45,40,AR,81,-54.8,-68.3,41.0,5.44,1620353526,ushuaia
46,0,AF,88,34.5,62.0,57.2,4.54,1620353626,herat
47,0,CN,15,40.81,114.8794,56.59,21.43,1620353626,zhangjiakou
48,1,US,79,71.2906,-156.7887,14.0,5.75,1620353627,barrow
49,74,BR,87,-2.9248,-39.9167,76.1,5.53,1620353627,itarema
50,12,AU,25,-15.7667,128.7333,87.8,11.5,1620353628,kununurra
51,92,NZ,76,-46.6,168.3333,57.99,1.99,1620353628,bluff
52,100,NO,71,70.3705,31.1107,34.34,21.5,1620353628,vardo
53,90,GL,86,65.6145,-37.6368,28.4,3.44,1620353629,tasiilaq
54,5,ZA,90,-24.5917,27.4116,52.0,3.71,1620353629,thabazimbi
55,29,RU,62,60.0625,71.4789,39.87,13.29,1620353630,salym
56,78,ZA,94,-34.5322,20.0403,59.0,10.36,1620353630,bredasdorp
57,45,SB,69,-8.145,159.5921,86.13,10.8,1620353631,buala
58,1,MX,78,20.7,-105.2,77.0,9.22,1620353631,ixtapa
59,40,MU,94,-20.4081,57.7,73.4,3.44,1620353631,mahebourg
60,0,BR,83,-21.6403,-41.0511,74.61,7.96,1620353632,sao joao da barra
61,75,GF,100,4.9333,-52.3333,75.99,2.3,1620353632,cayenne
62,20,LK,100,6.1241,81.1185,77.0,1.14,1620353633,hambantota
63,56,IN,60,24.5,93.7667,76.69,1.81,1620353633,moirang
64,37,CN,12,43.6475,111.9767,54.95,20.6,1620353633,erenhot
65,40,PF,66,-17.5333,-149.3333,86.0,12.66,1620353634,tiarei
66,90,JP,55,39.2667,141.8833,59.0,1.14,1620353634,kamaishi
67,0,IT,88,37.0881,15.2792,62.01,9.22,1620353635,syracuse
68,100,SS,78,4.7717,33.5903,74.44,0.87,1620353635,kapoeta
69,98,PT,58,32.6667,-17.1,59.0,4.0,1620353636,ponta do sol
70,75,JP,82,35.7333,140.8333,70.0,9.22,1620353361,hasaki
71,100,ID,97,-0.583,117.095,75.85,1.7,1620353636,loa janan
72,0,MA,88,35.174,-2.9287,59.0,0.94,1620353392,nador
73,1,US,50,41.3712,-73.414,53.6,4.0,1620353637,bethel
74,91,CA,93,48.6499,-53.1147,36.0,1.14,1620353637,bonavista
75,7,BW,51,-18.3667,21.85,59.61,5.3,1620353638,shakawe
76,20,CA,56,55.7435,-97.8558,39.2,9.22,1620353638,thompson
77,20,PT,72,33.072,-16.3415,62.6,8.05,1620353638,porto santo
78,100,ZA,79,-33.0153,27.9116,69.69,17.72,1620353639,east london
79,75,CK,88,-21.2078,-159.775,69.8,14.97,1620353639,avarua
80,100,RU,84,68.5333,146.4167,31.19,7.16,1620353640,belaya gora
81,100,PF,77,-23.1203,-134.9692,78.1,12.62,1620353640,rikitea
82,90,US,71,57.0531,-135.33,51.8,3.44,1620353640,sitka
83,95,AU,71,-42.7826,147.0587,68.0,1.99,1620353641,new norfolk
84,1,US,52,42.097,-79.2353,43.0,5.75,1620353641,jamestown
85,100,CA,93,45.5834,-62.6486,41.0,28.77,1620353642,new glasgow
86,75,TO,88,-21.2,-175.2,77.0,13.8,1620353642,vaini
87,100,RU,76,71.9667,102.5,34.79,15.61,1620353642,khatanga
88,75,CL,87,-53.15,-70.9167,42.8,6.91,1620353643,punta arenas
89,0,BR,84,-22.9661,-42.0278,74.03,7.02,1620353643,arraial do cabo
90,100,AU,42,-38.2667,141.9667,66.85,11.54,1620353643,codrington
91,75,NU,94,-19.0595,-169.9187,78.8,12.66,1620353644,alofi
92,41,BR,74,-30.1811,-50.2056,58.3,11.07,1620353644,cidreira
93,32,PH,74,11.1373,123.7228,82.76,7.85,1620353645,sulangan
94,25,PE,84,-11.0964,-77.6139,66.16,7.65,1620353645,hualmay
95,40,VU,74,-13.8833,167.55,82.99,17.47,1620353645,sola
96,75,BR,88,-23.3156,-46.2214,68.0,3.44,1620353646,santa isabel
97,20,US,78,22.0752,-159.319,77.0,12.66,1620353646,kapaa
98,85,BR,84,-2.8856,-40.12,76.77,5.19,1620353647,acarau
99,90,RU,69,69.4154,30.8136,32.0,13.8,1620353647,zapolyarnyy
100,1,US,54,39.9523,-75.1638,60.01,5.75,1620353557,filadelfia
101,0,CL,50,-33.7333,-70.75,68.0,6.91,1620353648,buin
102,63,NZ,68,-45.8742,170.5036,59.0,10.0,1620353648,dunedin
103,100,ZM,52,-14.97,22.6814,69.21,4.56,1620353648,kalabo
104,39,MZ,92,-16.8392,36.9856,59.07,4.0,1620353649,mocuba
105,90,MX,83,15.85,-97.0667,77.0,6.91,1620353432,puerto escondido
106,90,CA,86,69.4541,-133.0374,28.4,16.11,1620353649,tuktoyaktuk
107,0,BD,59,20.8624,92.3058,85.59,3.51,1620353650,teknaf
108,40,CA,36,65.282,-126.8329,59.0,12.66,1620353650,norman wells
109,8,CN,5,42.8,93.45,79.03,3.49,1620353651,hami
110,86,NZ,62,-45.4167,167.7167,56.52,0.63,1620353651,te anau
111,91,AU,9,-23.7,133.8833,80.6,3.44,1620353651,alice springs
112,75,JP,56,33.7333,135.9833,68.0,4.61,1620353652,shingu
113,99,ID,72,-2.9701,119.8978,78.49,2.21,1620353652,rantepao
114,92,IN,73,25.5198,90.2201,77.09,2.62,1620353653,tura
115,100,RU,28,57.8,158.6667,46.74,4.43,1620353653,tigil
116,74,BR,58,-7.5989,-40.8178,73.74,5.7,1620353653,simoes
117,75,AZ,93,40.8192,49.4687,51.8,4.61,1620353654,suraabad
118,100,CI,97,7.0626,-4.4995,73.0,3.83,1620353654,bocanda
119,74,BY,77,52.6333,29.7333,39.27,7.16,1620353655,svetlogorsk
120,96,CO,69,11.7751,-72.4445,81.88,17.85,1620353655,manaure
121,32,PH,56,10.9995,122.6711,89.08,14.18,1620353655,dingle
122,100,RU,58,53.6679,87.4362,63.48,8.01,1620353656,tayzhina
123,20,ID,74,-8.19,114.9675,84.2,10.36,1620353656,banjar
124,13,RU,79,65.441,52.1498,32.31,3.96,1620353657,ust-tsilma
125,70,RU,96,60.4667,166.1,29.89,4.38,1620353657,tilichiki
126,100,BR,95,-24.7911,-50.0119,53.78,5.91,1620353657,castro
127,20,GL,84,77.484,-69.3632,19.27,5.14,1620353658,qaanaaq
128,75,PT,94,37.7333,-25.6667,62.6,4.61,1620353658,ponta delgada
129,20,MY,83,5.4112,100.3354,82.4,5.75,1620353402,georgetown
130,75,RE,78,-21.3585,55.7679,73.4,5.75,1620353659,saint-philippe
131,1,US,36,38.8403,-97.6114,59.0,3.44,1620353562,salina
132,74,BR,82,-3.41,-39.0306,78.01,20.0,1620353659,paracuru
133,39,MG,89,-25.1667,45.05,64.17,5.59,1620353660,beloha
134,100,RU,83,43.919,46.7102,48.06,8.5,1620353660,pervomayskoye
135,100,RU,69,58.1831,94.7592,43.0,11.72,1620353661,motygino
136,40,US,32,57.79,-152.4072,51.8,6.91,1620353661,kodiak
137,96,NC,74,-22.6667,167.4833,76.24,10.2,1620353661,vao
138,40,US,82,40.5982,-124.1573,57.99,14.97,1620353662,fortuna
139,0,QA,65,25.2867,51.5333,80.01,2.3,1620353662,doha
140,65,SD,32,16.1525,36.2032,85.53,9.84,1620353662,wagar
141,90,BO,77,-17.8,-63.1667,57.2,17.27,1620353561,santa cruz
142,1,US,87,42.1428,-77.0547,41.0,5.75,1620353663,corning
143,0,AU,48,-12.2333,136.7667,87.8,13.8,1620353663,nhulunbuy
144,100,KZ,63,41.2547,67.9692,68.0,2.8,1620353664,chardara
145,0,MX,81,27.9769,-114.0611,63.19,16.46,1620353664,guerrero negro
146,0,NA,91,-22.116,14.2845,59.0,6.22,1620353664,henties bay
147,20,TH,74,7.9178,98.3332,86.0,9.22,1620353665,kathu
148,99,RU,93,73.5069,80.5464,25.68,15.68,1620353665,dikson
149,95,PK,44,33.4244,70.7364,73.42,2.06,1620353666,doaba
150,0,PK,40,28.4914,66.2585,64.89,3.44,1620353666,surab
151,84,PT,90,38.5167,-28.7,63.5,22.75,1620353666,ribeira grande
152,100,TL,77,-8.9266,125.4092,67.66,2.66,1620353667,airai
153,44,GB,81,60.3964,-1.353,39.2,8.05,1620353667,brae
154,96,RU,70,58.4497,92.1703,46.26,14.63,1620353667,yeniseysk
155,6,ZA,95,-34.0033,24.7314,61.0,1.01,1620353668,kruisfontein
156,100,MY,96,2.0167,112.9333,77.67,1.25,1620353668,kapit
157,96,YE,64,13.8141,44.6301,72.52,5.14,1620353669,bajah
158,50,RU,64,62.0961,77.475,41.74,16.31,1620353669,raduzhnyy
159,60,ID,73,-0.8833,131.25,83.05,2.3,1620353669,sorong
160,96,ID,67,-9.1061,124.8925,81.61,1.59,1620353670,atambua
161,100,RU,65,50.3691,119.1012,46.17,7.36,1620353670,priargunsk
162,99,CN,65,31.1783,115.0319,73.06,5.39,1620353670,macheng
163,4,AU,82,-28.7667,114.6,66.2,8.05,1620353671,geraldton
164,19,PF,69,-16.4833,-151.75,82.56,13.04,1620353671,faanui
165,5,BR,78,-14.4547,-56.8028,63.37,2.75,1620353672,nortelandia
166,9,BR,94,-32.035,-52.0986,46.99,12.68,1620353672,rio grande
167,0,AR,74,-34.6515,-59.4307,48.99,3.15,1620353672,mercedes
168,1,AU,73,-24.8667,113.6333,71.6,14.97,1620353673,carnarvon
169,100,TZ,81,-4.9667,39.8333,78.42,16.64,1620353673,micheweni
170,1,US,61,43.1548,-77.6156,45.0,4.27,1620353220,rochester
171,97,PG,75,-2.0226,147.2712,84.24,5.53,1620353674,lorengau
172,100,PH,70,8.1064,122.6208,86.59,8.03,1620353674,patawag
173,38,AO,85,-15.1961,12.1522,74.44,4.63,1620353674,namibe
174,10,SD,55,14.2,24.6667,72.5,5.35,1620353675,kutum
175,3,KZ,54,44.5086,50.263,55.69,4.83,1620353675,fort-shevchenko
176,100,CA,75,44.6453,-63.5724,43.0,6.91,1620353624,halifax
177,41,AR,69,-43.3002,-65.1023,52.75,9.28,1620353676,rawson
178,0,BR,50,-22.7311,-48.5706,75.2,3.44,1620353676,sao manuel
179,69,PG,63,-6.3164,155.4848,82.6,3.76,1620353676,panguna
180,5,MX,74,17.9583,-102.2,77.97,4.94,1620353677,lazaro cardenas
181,100,CN,75,23.2281,110.8261,82.35,3.29,1620353677,jinji
182,6,PY,97,-25.1833,-56.4,47.3,2.62,1620353678,carayao
183,5,BD,63,23.03,91.5069,84.06,3.87,1620353678,chhagalnaiya
