city_id,Cloudiness,Country,Humidity,Latitude,Longitude,Temperature (F),Wind Speed,Date,City
0,90,US,71,40.8584,-74.1638,57.2,23.02,1619032690,clifton
1,0,CL,68,-30.0319,-70.7081,66.2,14.97,1619032816,vicuna
2,12,RU,68,69.7008,170.3133,20.77,17.83,1619032640,pevek
3,0,ZA,77,-33.9258,18.4232,66.2,9.22,1619032572,cape town
4,75,EC,78,-0.7393,-90.3518,80.6,11.5,1619032817,puerto ayora
5,38,CN,86,18.8003,110.3967,75.94,5.93,1619032817,wanning
6,80,NA,89,-28.55,16.4333,61.25,5.55,1619032817,oranjemund
7,100,SD,36,11.0167,29.7167,89.38,9.73,1619032818,kaduqli
8,10,IN,74,9.7333,79.0167,84.13,13.29,1619032818,tondi
9,75,UY,53,-34.8603,-56.0522,75.2,17.27,1619032819,paso de carrasco
10,1,US,51,64.5011,-165.4064,32.0,3.44,1619032819,nome
11,94,NZ,97,-46.1927,168.8643,46.99,1.01,1619032819,mataura
12,7,MV,66,-0.6,73.0833,82.8,4.97,1619032820,hithadhoo
13,100,RU,87,63.05,179.3167,17.26,3.44,1619032820,beringovskiy
14,20,ZA,94,-33.918,25.5701,68.0,11.5,1619032821,port elizabeth
15,1,US,53,30.153,-85.5699,78.01,14.97,1619032821,callaway
16,12,VU,87,-19.55,169.2667,77.59,5.39,1619032821,isangel
17,94,GB,65,58.2093,-6.3865,45.0,6.91,1619032638,stornoway
18,20,AR,94,-38.0023,-57.5575,69.8,21.85,1619032573,mar del plata
19,100,US,69,42.6001,-73.9662,39.0,1.99,1619032822,albany
20,100,AU,95,-33.65,115.3333,53.01,10.13,1619032823,busselton
21,40,US,61,19.7297,-155.09,80.6,4.97,1619032805,hilo
22,69,ID,90,-3.8004,102.2655,75.76,3.87,1619032823,bengkulu
23,100,ID,89,0.1333,117.5,77.29,6.73,1619032824,bontang
24,29,RU,97,60.34,102.2797,6.48,0.56,1619032824,vanavara
25,100,RU,72,42.4308,130.6434,46.08,2.13,1619032824,khasan
26,75,RU,93,59.7035,30.7861,36.0,2.24,1619032825,nikolskoye
27,0,RO,100,45.7583,21.1122,51.01,5.75,1619032825,sacalaz
28,7,CA,20,55.1001,-105.2842,60.8,9.22,1619032826,la ronge
29,0,HK,83,22.2855,114.1577,73.99,6.38,1619032807,victoria
30,86,CL,80,-37.6167,-73.65,56.07,16.42,1619032648,lebu
31,75,MU,94,-20.3428,57.7575,77.0,9.22,1619032826,bambous virieux
32,10,PF,68,-9.8,-139.0333,80.74,21.34,1619032827,atuona
33,19,ZA,83,-34.4187,19.2345,64.99,4.0,1619032827,hermanus
34,26,TH,79,14.708,101.4161,87.01,3.6,1619032828,pak chong
35,75,BD,74,23.6,89.8333,84.2,9.22,1619032828,faridpur
36,100,RU,69,68.75,161.3,27.55,18.66,1619032829,cherskiy
37,100,NG,48,12.1628,6.6614,84.09,14.07,1619032829,gusau
38,20,IS,53,66.0449,-17.3389,46.4,14.97,1619032829,husavik
39,75,CA,76,50.6996,-127.4199,51.8,16.11,1619032536,port hardy
40,69,AU,76,-42.8794,147.3294,53.01,6.91,1619032548,hobart
41,100,KI,78,3.0707,172.7902,82.09,17.81,1619032830,butaritari
42,100,PG,78,-2.5744,150.7967,79.86,4.97,1619032831,kavieng
43,100,RU,90,71.6872,128.8694,8.94,10.07,1619032831,tiksi
44,42,IN,68,10.5669,72.642,84.06,6.89,1619032832,kavaratti
45,0,AR,53,-54.8,-68.3,50.0,0.74,1619032782,ushuaia
46,0,AF,42,34.5,62.0,63.63,7.31,1619032832,herat
47,100,CN,58,40.81,114.8794,50.22,7.29,1619032833,zhangjiakou
48,1,US,79,71.2906,-156.7887,19.4,6.91,1619032833,barrow
49,100,BR,75,-2.9248,-39.9167,81.37,7.16,1619032833,itarema
50,11,AU,78,-15.7667,128.7333,69.8,4.61,1619032834,kununurra
51,100,NZ,97,-46.6,168.3333,46.99,1.01,1619032834,bluff
52,0,NO,65,70.3705,31.1107,37.4,3.44,1619032835,vardo
53,20,GL,47,65.6145,-37.6368,30.2,13.8,1619032835,tasiilaq
54,0,ZA,39,-24.5917,27.4116,63.21,3.89,1619032835,thabazimbi
